node_id,parent_id,tag,text,label
0,,ROOT,,n
3,0,div,,n
33,3,h1,How to Build a Skin Care Routine,n
34,3,div,,n
35,34,section,,n
37,35,div,,n
39,37,p,,n
40,39,text,By,n
42,39,span,Kari Molvar,n
45,37,p,"Illustrations by Konstantin Kakanias, Animation by Jonathan Eden",n
52,35,p,"Great skin is not simply a matter of DNA — your daily habits, in fact, have a big impact on what you see in the mirror. But depending on which product reviews you read or doctors you consult, there is a dizzying number of opinions on everything from how to moisturize to how to protect yourself from UV rays. Ultimately, caring for your skin is simply personal. Here’s what you should keep in mind to sort through all the noise.",n
65,34,div,,n
68,65,h2,Skin Care Tips Before You Start,n
69,65,div,,n
71,69,div,,n
73,71,h3,Three Main Steps,n
75,71,div,,n
77,75,p,your skin-care routine as consisting of three main steps:,n
78,75,ul,,n
81,78,li,Cleansing — Washing your face.,n
84,78,li,Toning — Balancing the skin.,n
85,78,li,,n
87,85,strong,Moisturizing,n
88,85,text,—,n
90,85,strong,Hydrating and softening the skin.,n
92,75,p,"The goal of any skin-care routine is to tune up your complexion so it’s functioning at its best, and also troubleshoot or target any areas you want to work on. “Beauty routines are an opportunity to notice changes within yourself,” says the San Francisco skin-care specialist Kristina Holey. As your skin needs shifts with age, so will your products. Still, she adds, “it’s not about creating perfection.” Allow these three steps to become your daily ritual that fortifies your skin and grounds your day.",n
95,69,div,,n
97,95,h3,Give it Time,n
99,95,div,,n
100,99,p,,n
101,100,text,The science behind skin-care products has come a long way but there’s still no such thing as an instant fix —,n
103,100,strong,"you need time to reap the benefits,",n
104,100,text,"says Dr. Rachel Nazarian, a Manhattan dermatologist at Schweiger Dermatology Group. “Results are only seen through consistent use,” she explains.",n
106,100,strong,"Generally, aim to use a product over at least six weeks, once or twice daily, to notice a difference.",n
108,99,p,,n
110,108,strong,Tip,n
111,108,text,"— from thinnest to thickest. For example, cleanser, toner , serum, and then moisturizer.",n
115,69,div,,n
117,115,h3,More on Skin Care Basics,n
121,115,div,,n
123,121,h4,Health and Happiness in a Bottle,n
125,121,p,"August 14, 2017",n
129,115,div,,n
131,129,h4,Skincare Advice From a Budapest-Based Beauty Founder,n
133,129,p,"May 10, 2016",n
137,115,div,,n
139,137,h4,"Wellness, Beauty and Style — According to a French Ballet Star",n
141,137,p,"August 11, 2016",n
145,115,div,,n
147,145,h4,A Parisian Editor’s Best Natural Beauty Advice,n
149,145,p,"April 18, 2016",n
153,34,div,,n
156,153,h2,Cleansing,n
158,153,div,,n
163,158,p,,n
164,163,text,"Washing your face is the most basic and essential step of any routine, says the New York City dermatologist Dr. Carlos Charles. “Our skin comes in contact with environmental pollutants, dirt and other factors each day that should be gently removed.”",n
166,163,strong,"Wash twice a day, morning and night, to avoid clogged pores, dullness and acne.",n
168,158,div,,n
