node_id,parent_id,tag,text,label
0,,ROOT,,n
1,0,div,,n
4,1,h1,IoTLineup.com,n
5,1,div,,n
6,5,text,Categories,n
8,5,div,Home Automation,n
12,5,div,Home Appliances,n
16,5,div,Home Energy Management,n
20,5,div,Home Security and Safety,n
24,5,div,Health and Fitness,n
28,5,div,Information and Entertainment,n
32,5,div,Automotive,n
37,1,h1,the Most Popular Smart Home Devices,n
39,1,div,"Find here the most comprehensive list of top Internet of Things devices, categorized and with many search filters. These are the best smart home devices available on the market right now. You will discover a variety of IoT devices to automate your home and change the way you live.",n
40,1,div,,n
41,40,div,,n
43,41,h2,Bitdefender BOX,y
45,41,h2,IoT Security Solution,y
56,41,p,"Security solution which blocks incoming threats and can scan all your devices for vulnerabilities. It protects all your IoT devices, even when you go out! Can act as a wireless router or go alongside your current one.",n
71,41,div,Blocks incoming threats and can scan all your devices,n
81,41,div,Network Security,n
82,40,div,,n
84,82,h2,Google Home,y
97,82,p,"Google Home, the connected voice controller from Google. Besides controlling your home it also comes with Google Assistant, helping with lists, translation, news, music, calendar and many many more.",n
108,82,div,The connected voice controller from Google. Besides controlling your home it... »read more,n
119,40,div,,n
121,119,h2,Amazon Echo,y
134,119,p,"Amazon Echo, the connected voice controller from Amazon, can give you information, music, news, weather, add things to todo lists, wake you up and, of course, control your home.",n
149,119,div,"The connected voice controller from Amazon. Can give you information, music... »read more",n
163,40,div,,n
165,163,h2,Nest Cam,y
167,163,h2,Indoor camera,y
178,163,p,Nest Cam Outdoor is the monitoring tool you've been waiting for. It brings all the benefits of modern streaming technology and a sleek design so you can watch your home from anywhere.,n
193,163,div,The monitoring tool you've been waiting for. It brings all the benefits... »read more,n
207,40,div,,n
209,207,h2,Mr. Coffee,y
211,207,h2,Smart Coffeemaker,y
222,207,p,"Mr. Coffee 10-Cup Smart Optimal Brew Coffeemaker makes it easy to schedule, monitor, and modify your brew from anywhere.",n
233,207,div,"The 10-Cup Smart Coffeemaker makes it easy to schedule, monitor, and... »read more",n
244,40,div,,n
246,244,h2,SmartMat,y
248,244,h2,Intelligent Yoga Mat,y
259,244,p,The interactive yoga utility that helps you perfect your yoga training through real time pressure sensing technology and smart mobile interfacing.,n
270,244,div,Helps you perfect your yoga training through real time pressure sensing... »read more,n
277,244,div,Exercise Equipment,n
278,40,div,,n
280,278,h2,Philips Hue,y
282,278,h2,Hue Go,y
293,278,p,With Hue Go the possibilities are endless. Connect light to your daily life and move it around the way you like it. Lift your gaming experience to the next level via third party apps.,n
304,278,div,Connect light to your daily life and move it around the way you like... »read more,n
315,40,div,,n
317,315,h2,TrackR bravo,y
319,315,h2,Tracking Device,y
330,315,p,"TrackR bravo is the coin-sized tracking device that locates your belongings in real time and notifies you their location, whether they are lost or misplaced. Great for wallets, keys, phones or pets.",n
345,315,div,The coin-sized tracking device that locates your belongings in real... »read more,n
353,40,div,,n
355,353,h2,Linquet,y
357,353,h2,Bluetooth tracking sensor,y
368,353,p,Linquet is the cloud powered tracking device you can attach to anything. Link them to the app and share their location with those interested so nothing gets left behind.,n
379,353,div,Cloud powered tracking device you can attach to anything. Link... »read more,n
387,40,div,,n
389,387,h2,Amazon Echo Spot,y
391,387,h2,Smart Alarm Clock,y
402,387,p,"Amazon Echo Spot is a smart alarm clock that can make video calls, with a tiny 2.5-inch screen, or become a nursery camera. It can also be connected to external speakers, either through cable or Bluetooth.",n
417,387,div,"Can make video calls, with a tiny 2.5-inch screen, or become a nursery... »read more",n
434,40,div,,n
436,434,h2,BB8 SE,y
438,434,h2,Droid with force band,y
449,434,p,BB-8 is the loyal droid of Resistance pilot Poe Dameron. Control it with the force band or with your smart device and see it roll just like on screen. Immerse yourself in the Star Wars galaxy.,n
464,434,div,Resistance pilot Poe Dameron. Control it with the force... »read more,n
472,40,div,,n
474,472,h2,Nest Thermostat,y
476,472,h2,Smart Thermostat,y
487,472,p,"The Nest Thermostat learns what temperature you like and builds a schedule around yours. Also, it will send you an alert when the temperatures are threatening to ruin your belongings and appliances.",n
502,472,div,Learns what temperature you like and builds a schedule around yours. Also... »read more,n
516,40,div,,n
518,516,h2,Amazon Echo Plus,y
531,516,p,"Just like the Echo, the connected voice controller from Amazon, it can give you information, music, news, weather, add things to todo lists, wake you up and, of course, control your home. The Plus will also act as a smart home hub which automatically discovers compatible devices.",n
546,516,div,"Just like the Echo, but will also act as a smart home hub which... »read more",n
560,40,div,,n
562,560,h2,Logitech Pop,y
564,560,h2,Smart button controller,y
575,560,p,"POP Home Switch lets everyone in the home control smart lighting, music, and more with the push of a button. Program each switch with up to three custom commands to add creativity throughout your smart home.",n
590,560,div,"Lets everyone in the home control smart lighting, music, and more with the... »read more",n
607,40,div,,n
609,607,h2,Nest Cam Outdoor,y
622,607,p,"With one app for all your Nest products, the unique magnetic mount, full 1080p HD video streaming and advanced Night Vision, Nest Cam Outdoor enables you to take care of what matters 24 or 7.",n
637,607,div,"With full 1080p HD video streaming and advanced Night Vision, it enables... »read more",n
651,40,div,,n
653,651,h2,AWS IoT Button,y
655,651,h2,Programmable Dash Button,y
666,651,p,The AWS IoT button is a developer kit that can be programmed to control internet-connected devices and services.,n
681,651,div,Developer kit that can be programmed to control internet-connected devices... »read more,n
692,40,div,,n
694,692,h2,Logitech Circle,y
696,692,h2,Portable Wi-Fi video camera,y
707,692,p,The smart home security camera that helps you keep home safe and stay connected - all from your smartphone. Comes with AES encryption and free private 24-hour secure cloud storage for your total peace of mind.,n
722,692,div,Smart home security camera that helps you keep home safe and stay connected... »read more,n
733,40,div,,n
735,733,h2,Logitech Harmony Elite,y
737,733,h2,Smart Controller,y
748,733,p,"Integrate control of your connected lights, locks, thermostats, sensors, home entertainment devices, and more - all accessible from either an rechargeable touch screen remote or handy mobile app.",n
763,733,div,"your connected lights, locks, thermostats, sensors... »read more",n
774,40,div,,n
776,774,h2,Awair,y
778,774,h2,Smart Air Quality Monitor,y
789,774,p,"Awair is the first complete device to let you communicate with your air. Awair analyzes your indoor air quality, learns your routines and can communicate with other home devices to help you achieve optimal air quality.",n
804,774,div,"Analyzes your indoor air quality, learns your routines and can communicate... »read more",n
815,40,div,,n
817,815,h2,Nest Protect,y
819,815,h2,Smoke and CO detector,y
830,815,p,"Nest Protect is the smoke alarm other alarms look up to. With an industrial-grade smoke sensor, automatic self testing, it's the first home alarm you can hush from your phone without any extra hardware.",n
845,815,div,"Smoke alarm with an industrial-grade smoke sensor, automatic self testing... »read more",n
856,40,div,,n
858,856,h2,Navdy,y
860,856,h2,Smart navigation system,y
871,856,p,"Navdy combines a high quality projection display with voice and gesture controls to create a safer driving experience. Drivers no longer need to use their phone to navigate, communicate or control their music.",n
886,856,div,Navdy combines a high quality projection display with voice and gestur... »read more,n
888,856,div,,n
890,888,span,Automotive,n
893,888,span,Automotive Subsystems,n
894,40,div,,n
896,894,h2,Hydrawise,y
898,894,h2,Smart Irrigation Controller,y
909,894,p,Manage your irrigation controller and save water with predictive schedules from anywhere using your smart device or web browser with Hydrawise web-based software.,n
924,894,div,Manage your irrigation controller and save water with predictive sched... »read more,n
935,40,div,,n
937,935,h2,Sync Smartband,y
939,935,h2,Activity Tracker,y
950,935,p,"Sync Smartband is the chic solution that appeals to families and adults as well, with a variety of health tracking functions, including a fitness tracker and sleep tracker, in addition to location tracking.",n
961,935,div,Sync Smartband is the chic solution that appeals to families and adult... »read more,n
972,40,div,,n
974,972,h2,Ninja Sphere,y
976,972,h2,Smart Household Appliances,y
987,972,p,"The Ninja Sphere is a small device that finally delivers on the promise of ""Smart Homes"", without all the tedious wiring and configuration.",n
998,972,div,The Ninja Sphere is a small device that finally delivers on the promis... »read more,n
1009,40,div,,n
1011,1009,h2,Airfy,y
1013,1009,h2,iBeacon,y
1024,1009,p,"Airfy beacon allows you to make your home smart using one or more ""beacons"" - tiny receivers that connect to your phone through Bluetooth Low Energy .",n
1035,1009,div,"Airfy beacon allows you to make your home smart using one or more ""bea... »read more",n
1046,40,div,,n
1048,1046,h2,June,y
1050,1046,h2,Intelligent oven,y
1061,1046,p,June is a modern oven prepared to fit in every kitchen in order to satisfy even the most exquisite tastes. It saves a lot of the time you'd normally spend cooking when connected to your phone.,n
1076,1046,div,June is a modern oven prepared to fit in every kitchen in order to sat... »read more,n
1087,40,div,,n
1102,1087,p,"August Doorbell Cam alerts you when the bell is rung and lets you see and speak with visitors from your smartphone. When combined with the August Smart Lock, you can also remotely unlock and lock the door.",n
1117,1087,div,August Doorbell Cam alerts you when the bell is rung and lets you see ... »read more,n
1128,40,div,,n
1130,1128,h2,Singlecue,y
1132,1128,h2,Gesture Controller,y
1143,1128,p,"With singlecue you can control your TV, media and smart homes devices using touch-free gestures.",n
